date,spx,dax,ftse,nikkei
2024-09-19,5713.64013671875,19002.380859375,8328.7001953125,37155.328125
2024-09-20,5702.5498046875,18720.009765625,8230.0,37723.91015625
2024-09-23,5718.56982421875,18846.7890625,8259.7001953125,
2024-09-24,5732.93017578125,18996.630859375,8282.7998046875,37940.58984375
2024-09-25,5722.259765625,18918.5,8268.7001953125,37870.26171875
2024-09-26,5745.3701171875,19238.359375,8284.900390625,38925.62890625
2024-09-27,5738.169921875,19473.630859375,8320.7998046875,39829.55859375
2024-09-30,5762.47998046875,19324.9296875,8237.0,37919.55078125
2024-10-01,5708.75,19213.140625,8276.7001953125,38651.96875
2024-10-02,5709.5400390625,19164.75,8290.900390625,37808.76171875
2024-10-03,5699.93994140625,19015.41015625,8282.5,38552.05859375
2024-10-04,5751.06982421875,19120.9296875,8280.599609375,38635.62109375
2024-10-07,5695.93994140625,19104.099609375,8303.599609375,39332.73828125
2024-10-08,5751.1298828125,19066.470703125,8190.60009765625,38937.5390625
2024-10-09,5792.0400390625,19254.9296875,8243.7001953125,39277.9609375
2024-10-10,5780.0498046875,19210.900390625,8237.7001953125,39380.890625
2024-10-11,5815.02978515625,19373.830078125,8253.7001953125,39605.80078125
2024-10-14,5859.85009765625,19508.2890625,8292.7001953125,
2024-10-15,5815.259765625,19486.189453125,8249.2998046875,39910.55078125
2024-10-16,5842.47021484375,19432.810546875,8329.099609375,39180.30078125
2024-10-17,5841.47021484375,19583.390625,8385.099609375,38911.19140625
2024-10-18,5864.669921875,19657.369140625,8358.2998046875,38981.75
2024-10-21,5853.97998046875,19461.189453125,8318.2001953125,38954.6015625
2024-10-22,5851.2001953125,19421.91015625,8306.5,38411.9609375
2024-10-23,5797.419921875,19377.619140625,8258.599609375,38104.859375
2024-10-24,5809.85986328125,19443.0,8269.400390625,38143.2890625
2024-10-25,5808.1201171875,19463.58984375,8248.7998046875,37913.921875
2024-10-28,5823.52001953125,19531.619140625,8285.599609375,38605.53125
2024-10-29,5832.919921875,19478.0703125,8219.599609375,38903.6796875
2024-10-30,5813.669921875,19257.33984375,8159.60009765625,39277.390625
2024-10-31,5705.4501953125,19077.5390625,8110.10009765625,39081.25
2024-11-01,5728.7998046875,19254.970703125,8177.2001953125,38053.671875
2024-11-04,5712.68994140625,19147.849609375,8184.2001953125,
2024-11-05,5782.759765625,19256.26953125,8172.39990234375,38474.8984375
2024-11-06,5929.0400390625,19039.310546875,8166.7001953125,39480.671875
2024-11-07,5973.10009765625,19362.51953125,8140.7001953125,39381.41015625
2024-11-08,5995.5400390625,19215.48046875,8072.39990234375,39500.37109375
2024-11-11,6001.35009765625,19448.599609375,8125.2001953125,39533.3203125
2024-11-12,5983.990234375,19033.640625,8025.7998046875,39376.08984375
2024-11-13,5985.3798828125,19003.109375,8030.2998046875,38721.66015625
2024-11-14,5949.169921875,19263.69921875,8071.2001953125,38535.69921875
2024-11-15,5870.6201171875,19210.810546875,8063.60009765625,38642.91015625
2024-11-18,5893.6201171875,19189.189453125,8109.2998046875,38220.8515625
2024-11-19,5916.97998046875,19060.310546875,8099.0,38414.4296875
2024-11-20,5917.10986328125,19004.779296875,8085.10009765625,38352.33984375
2024-11-21,5948.7099609375,19146.169921875,8149.2998046875,38026.171875
2024-11-22,5969.33984375,19322.58984375,8262.099609375,38283.8515625
2024-11-25,5987.3701171875,19405.19921875,8291.7001953125,38780.140625
2024-11-26,6021.6298828125,19295.98046875,8258.599609375,38442.0
2024-11-27,5998.740234375,19261.75,8274.7998046875,38134.96875
2024-11-28,,19425.73046875,8281.2001953125,38349.05859375
2024-11-29,6032.3798828125,19626.44921875,8287.2998046875,38208.03125
2024-12-02,6047.14990234375,19933.619140625,8312.900390625,38513.01953125
2024-12-03,6049.8798828125,20016.75,8359.400390625,39248.859375
2024-12-04,6086.490234375,20232.140625,8335.7998046875,39276.390625
2024-12-05,6075.10986328125,20358.80078125,8349.400390625,39395.6015625
2024-12-06,6090.27001953125,20384.609375,8308.599609375,39091.171875
2024-12-09,6052.85009765625,20345.9609375,8352.099609375,39160.5
2024-12-10,6034.91015625,20329.16015625,8280.400390625,39367.578125
2024-12-11,6084.18994140625,20399.16015625,8301.599609375,39372.23046875
2024-12-12,6051.25,20426.26953125,8311.7998046875,39849.140625
2024-12-13,6051.08984375,20405.919921875,8300.2998046875,39470.44140625
2024-12-16,6074.080078125,20313.810546875,8262.099609375,39457.48828125
2024-12-17,6050.60986328125,20246.369140625,8195.2001953125,39364.6796875
2024-12-18,5872.16015625,20242.5703125,8199.099609375,39081.7109375
2024-12-19,5867.080078125,19969.859375,8105.2998046875,38813.578125
2024-12-20,5930.85009765625,19884.75,8084.60009765625,38701.8984375
2024-12-23,5974.06982421875,19848.76953125,8102.7001953125,39161.33984375
2024-12-24,6040.0400390625,,8137.0,39036.8515625
2024-12-25,,,,39130.4296875
2024-12-26,6037.58984375,,,39568.05859375
2024-12-27,5970.83984375,19984.3203125,8149.7998046875,40281.16015625
2024-12-30,5906.93994140625,19909.140625,8121.0,39894.5390625
2024-12-31,5881.6298828125,,8173.0,
2025-01-02,5868.5498046875,20024.66015625,8260.099609375,
2025-01-03,5942.47021484375,19906.080078125,8224.0,
2025-01-06,5975.3798828125,20216.189453125,8249.7001953125,39307.05078125
2025-01-07,5909.02978515625,20340.5703125,8245.2998046875,40083.30078125
2025-01-08,5918.25,20329.939453125,8251.0,39981.05859375
2025-01-09,,20317.099609375,8319.7001953125,39605.08984375
2025-01-10,5827.0400390625,20214.7890625,8248.5,39190.3984375
2025-01-13,5836.22021484375,20132.849609375,8224.2001953125,
2025-01-14,5842.91015625,20271.330078125,8201.5,38474.30078125
2025-01-15,5949.91015625,20574.6796875,8301.099609375,38444.578125
2025-01-16,5937.33984375,20655.390625,8391.900390625,38572.6015625
2025-01-17,5996.66015625,20903.390625,8505.2001953125,38451.4609375
2025-01-20,,20990.310546875,8520.5,38902.5
2025-01-21,6049.240234375,21042.0,8548.2998046875,39027.98046875
2025-01-22,6086.3701171875,21254.26953125,8545.099609375,39646.25
2025-01-23,6118.7099609375,21411.529296875,8565.2001953125,39958.87109375
2025-01-24,6101.240234375,21394.9296875,8502.400390625,39931.98046875
2025-01-27,6012.27978515625,21282.1796875,8503.7001953125,39565.80078125
2025-01-28,6067.7001953125,21430.580078125,8533.900390625,39016.87109375
2025-01-29,6039.31005859375,21637.529296875,8557.7998046875,39414.78125
